# http://corpus.zhonghuayuwen.org/resources.aspx
石,0.0561
满,0.056
何,0.0557
广,0.0556
律,0.0553
青,0.0551
林,0.0547
克,0.0546
王,0.0546
历,0.0544
权,0.0543
素,0.0542
始,0.0539
断,0.0536
九,0.0531
际,0.0531
积,0.0529
吃,0.0526
态,0.0525
艺,0.0525
证,0.0525
众,0.0525
创,0.0523
红,0.0523
望,0.0522
须,0.0521
群,0.0518
师,0.0518
该,0.0516
复,0.0514
细,0.0513
包,0.0513
土,0.0513
持,0.0513
服,0.0512
笑,0.0511
德,0.051
般,0.0508
远,0.0506
爱,0.0505
准,0.0499
写,0.0497
算,0.0493
火,0.0492
死,0.049
半,0.049
布,0.0489
随,0.0489
六,0.0488
元,0.0488
低,0.0487
称,0.0487
引,0.0486
照,0.0485
失,0.0482
养,0.0481
视,0.0481
习,0.048
段,0.048
字,0.0478
织,0.0477
斗,0.0473
团,0.0468
器,0.0467
兴,0.0465
乐,0.0464
效,0.0464
显,0.0461
斯,0.046
千,0.0456
落,0.0455
示,0.0454
仅,0.0454
企,0.0454
似,0.0453
备,0.0452
除,0.045
支,0.0449
标,0.0449
早,0.0447
吧,0.0447
周,0.0442
速,0.0441
跟,0.0438
七,0.0436
采,0.0435
状,0.0433
吗,0.0431
约,0.0431
城,0.043
层,0.043
专,0.0429
划,0.0428
轻,0.0428
拉,0.0424
值,0.0423
适,0.0423
英,0.0423
告,0.0419
讲,0.0419
维,0.0417
营,0.0417
士,0.0416
环,0.0414
古,0.0414
让,0.0414
院,0.0414
按,0.0411
型,0.0411
势,0.0411
足,0.0411
毛,0.041
台,0.0409
紧,0.0408
片,0.0407
属,0.0406
严,0.0406
树,0.0405
画,0.0405
厂,0.0403
功,0.0403
注,0.0402
演,0.0402
源,0.0401
温,0.0401
某,0.04
找,0.0399
参,0.0398
易,0.0398
飞,0.0398
推,0.0397
围,0.0397
列,0.0397
客,0.0396
河,0.0394
虽,0.0394
境,0.0393
食,0.0393
李,0.0393
尔,0.0391
黄,0.039
黑,0.0389
念,0.0386
越,0.0386
选,0.0385
华,0.0384
角,0.0384
考,0.0383
致,0.0383
夫,0.038
初,0.038
装,0.0379
议,0.0378
首,0.0378
委,0.0378
底,0.0378
另,0.0378
江,0.0377
息,0.0376
密,0.0374
压,0.0374
孩,0.0371
村,0.037
费,0.0368
局,0.0367
派,0.0363
房,0.0363
星,0.0362
突,0.0361
供,0.036
曾,0.0358
排,0.0358
苦,0.0357
够,0.0357
像,0.0357
站,0.0356
校,0.0354
富,0.0351
谈,0.0351
米,0.035
充,0.0348
阳,0.0348
破,0.0347
母,0.0347
球,0.0346
射,0.0345
批,0.0344
配,0.0344
纪,0.0344
未,0.0343
哪,0.0342
妈,0.0341
差,0.034
刚,0.034
率,0.0339
察,0.0339
舞,0.0338
依,0.0338
占,0.0337
呀,0.0336
微,0.0336
础,0.0335
益,0.0335
倒,0.0335
刻,0.0335
举,0.0334
血,0.0332
故,0.033
互,0.033
范,0.033
木,0.033
号,0.0327
尽,0.0326
请,0.0325
脸,0.0325
兵,0.0323
职,0.0323
留,0.0323
铁,0.0322
吸,0.0322
钱,0.0321
急,0.032
独,0.032
剧,0.032
查,0.0319
皮,0.0319
激,0.0318
坐,0.0318
乎,0.0318
固,0.0314
害,0.0313
夜,0.0313
续,0.0313
京,0.0313
双,0.0312
拿,0.0312
府,0.0312
限,0.0312
草,0.0311
项,0.0311
述,0.0308
曲,0.0308
既,0.0306
春,0.0306
官,0.0305
坚,0.0304
令,0.0303
句,0.0303
助,0.0302
简,0.0301
杂,0.03
材,0.03
封,0.0299
护,0.0299
司,0.0299
省,0.0298
县,0.0298
模,0.0298
试,0.0297
绝,0.0296
洋,0.0296
谁,0.0295
继,0.0294
止,0.0293
喜,0.0293
优,0.0292
词,0.0291
陈,0.029
鱼,0.0289
终,0.0288
施,0.0286
晚,0.0285
朝,0.0285
含,0.0285
仍,0.0284
脑,0.0282
甚,0.0281
汉,0.0281
修,0.028
油,0.0278
衣,0.0278
击,0.0278
云,0.0278
送,0.0277
巴,0.0277
普,0.0276
征,0.0276
错,0.0276
均,0.0275
投,0.0274
波,0.0274
余,0.0274
友,0.0274
武,0.0273
责,0.0272
游,0.0272
敌,0.0272
叶,0.027
船,0.0269
久,0.0269
否,0.0269
异,0.0268
块,0.0268
脚,0.0267
怕,0.0267
田,0.0266
策,0.0266
苏,0.0266
乡,0.0266
帝,0.0266
靠,0.0265
医,0.0265
测,0.0264
植,0.0264
啊,0.0264
括,0.0263
换,0.0263
逐,0.0263
娘,0.0263
罗,0.0262
戏,0.0262
善,0.0261
获,0.0259
待,0.0259
降,0.0259
冲,0.0258
父,0.0258
置,0.0258
左,0.0258
右,0.0257
沉,0.0257
酸,0.0257
亮,0.0256
良,0.0256
班,0.0256
著,0.0256
亚,0.0255
抗,0.0255
啦,0.0254
静,0.0254
渐,0.0254
概,0.0253
居,0.0252
跑,0.0252
旧,0.0252
防,0.0252
买,0.0251
挥,0.0251
负,0.025
帮,0.0249
欢,0.0249
冷,0.0247
液,0.0246
停,0.0246
减,0.0245
男,0.0245
胜,0.0244
答,0.0244
析,0.0243
忙,0.0243
短,0.0242
烈,0.0242
映,0.0241
财,0.0241
背,0.0241
奇,0.0241
药,0.0241
承,0.024
岁,0.0239
略,0.0236
穿,0.0235
牛,0.0234
室,0.0234
移,0.0234
饭,0.0234
坏,0.0233
假,0.0233
州,0.0232
缺,0.0232
愿,0.0232
练,0.0232
超,0.0231
雨,0.023
慢,0.023
竟,0.023
呼,0.023
散,0.0229
灵,0.0229
副,0.0228
歌,0.0228
谓,0.0228
虫,0.0228
读,0.0228
介,0.0227
培,0.0226
卫,0.0226
宗,0.0225
章,0.0224
评,0.0223
伤,0.0223
丰,0.0223
核,0.0221
预,0.0221
担,0.022
诉,0.022
惊,0.022
刘,0.022
景,0.0219
乱,0.0218
氧,0.0217
阿,0.0217
龙,0.0217
宣,0.0216
升,0.0216
爷,0.0216
洲,0.0216
判,0.0216
案,0.0214
协,0.0213
福,0.0212
货,0.0212
味,0.0212
若,0.0211
促,0.0211
希,0.021
握,0.0209
端,0.0209
针,0.0208
屋,0.0208
掌,0.0207
检,0.0206
痛,0.0206
闻,0.0206
妇,0.0205
贵,0.0205
顾,0.0205
沙,0.0205
扩,0.0204
困,0.0202
哥,0.0201
嘴,0.0201
销,0.02
印,0.02
免,0.0199
烟,0.0199
跳,0.0199
香,0.0199
纸,0.0198
户,0.0197
板,0.0197
睛,0.0196
误,0.0195
探,0.0194
座,0.0194
盾,0.0194
灯,0.0194
搞,0.0194
祖,0.0193
顺,0.0193
婚,0.0193
赶,0.0192
季,0.0192
兰,0.0192
忽,0.0191
践,0.0191
熟,0.019
矛,0.019
银,0.019
爸,0.019
临,0.019
佛,0.0189
犯,0.0189
胞,0.0189
讨,0.0189
陆,0.0189
补,0.0189
童,0.0188
圆,0.0188
归,0.0188
弟,0.0188
域,0.0187
索,0.0187
罪,0.0186
脱,0.0185
追,0.0185
守,0.0184
课,0.0184
顶,0.0184
松,0.0183
杀,0.0183
掉,0.0182
野,0.0182
训,0.0182
遍,0.0181
庭,0.0181
弱,0.0181
赛,0.0181
额,0.018
酒,0.0179
绿,0.0179
席,0.0179
露,0.0179
卖,0.0178
钟,0.0178
旁,0.0177
肉,0.0176
央,0.0176
染,0.0176
欧,0.0176
怀,0.0176
稳,0.0175
伯,0.0175
编,0.0174
抓,0.0174
玉,0.0173
咱,0.0173
唯,0.0173
唱,0.0173
翻,0.0172
释,0.0172
控,0.0172
怪,0.0172
阵,0.0172
烧,0.0172
堂,0.0171
杨,0.0171
您,0.0171
诗,0.017
灭,0.017
夏,0.017
敢,0.017
退,0.0169
姑,0.0169
恶,0.0168
透,0.0168
鲜,0.0168
附,0.0167
骨,0.0167
审,0.0167
胡,0.0166
输,0.0166
宁,0.0166
丝,0.0166
姐,0.0166
彩,0.0166
睡,0.0166
巨,0.0165
迫,0.0165
鼓,0.0165
伙,0.0165
借,0.0165
耳,0.0164
典,0.0164
刺,0.0164
暗,0.0164
镜,0.0164
序,0.0163
哈,0.0163
菜,0.0163
溶,0.0163
笔,0.0162
汽,0.0162
礼,0.0162
摇,0.0162
迅,0.0161
险,0.0161
遗,0.0159
威,0.0159
沿,0.0159
弹,0.0159
私,0.0159
攻,0.0158
宝,0.0158
抽,0.0158
雪,0.0158
孙,0.0158
藏,0.0157
毒,0.0157
顿,0.0157
末,0.0157
摆,0.0156
趣,0.0156
救,0.0156
镇,0.0156
楼,0.0156
智,0.0156
园,0.0155
康,0.0155
永,0.0155
遇,0.0155
雄,0.0155
替,0.0154
危,0.0154
楚,0.0153
侵,0.0152
枪,0.0152
冰,0.0151
健,0.0151
播,0.0151
途,0.015
损,0.015
秀,0.015
丽,0.0149
秋,0.0149
执,0.0149
束,0.0148
纳,0.0148
虑,0.0148
疑,0.0148
午,0.0148
粮,0.0148
架,0.0148
盛,0.0148
湖,0.0148
尚,0.0147
床,0.0147
份,0.0147
套,0.0147
毫,0.0147
奋,0.0146
扬,0.0145
赵,0.0145
混,0.0144
献,0.0144
择,0.0144
庄,0.0143
殖,0.0143
店,0.0142
皇,0.0142
购,0.0142
缩,0.0142
盐,0.0142
冬,0.0141
齐,0.0141
径,0.0141
偏,0.014
盖,0.014
款,0.014
衡,0.0139
阻,0.0139
托,0.0139
喊,0.0139
繁,0.0139
纯,0.0139
牙,0.0139
殊,0.0138
浪,0.0138
招,0.0138
符,0.0137
折,0.0137
泽,0.0137
弄,0.0137
奶,0.0136
谢,0.0135
累,0.0135
亦,0.0135
厚,0.0135
朋,0.0135
伸,0.0134
筑,0.0134
闪,0.0134
枝,0.0133
授,0.0133
蛋,0.0133
潮,0.0133
登,0.0133
售,0.0133
孔,0.0133
街,0.0132
败,0.0132
迎,0.0131
肥,0.013
恩,0.013
尼,0.013
幼,0.013
惯,0.013
钢,0.0129
肯,0.0129
矿,0.0129
岛,0.0129
伟,0.0129
粉,0.0129
振,0.0129
吴,0.0129
夺,0.0128
尤,0.0128
忘,0.0128
荣,0.0128
亡,0.0128
阴,0.0128
凡,0.0128
毕,0.0128
暴,0.0128
唐,0.0128
勇,0.0127
避,0.0127
麻,0.0127
股,0.0127
硬,0.0127
洞,0.0126
盘,0.0126
轮,0.0126
警,0.0126
闹,0.0126
录,0.0126
绍,0.0126
描,0.0126
寻,0.0126
妹,0.0126
幸,0.0125
壁,0.0125
距,0.0125
玩,0.0124
休,0.0124
延,0.0124
综,0.0124
甲,0.0124
泛,0.0124
哲,0.0124
载,0.0123
雷,0.0123
窗,0.0123
虚,0.0122
